,Produto,Local,Preço (R$),Última Atualização
1,Arroz em Casca Irrigado Sc 60Kg Paranavaí (PR),Paranavaí (PR),"171,67",26/12/2023
2,Arroz em Casca Longo Fino Sc 60Kg Aliança do Tocantins (TO),Aliança do Tocantins (TO),"200,00",22/12/2023
3,Arroz em Casca Longo Fino Sc 60Kg Aparecida do Rio Negro (TO),Aparecida do Rio Negro (TO),"200,00",22/12/2023
4,Arroz em Casca Longo Fino Sc 60Kg Cariri do Tocantins (TO),Cariri do Tocantins (TO),"200,00",22/12/2023
5,Arroz em Casca Longo Fino Sc 60Kg Formoso do Araguaia (TO),Formoso do Araguaia (TO),"200,00",22/12/2023
6,Arroz em Casca Longo Fino Sc 60Kg Gurupi (TO),Gurupi (TO),"200,00",22/12/2023
7,Arroz em Casca Longo Fino Sc 60Kg Lagoa da Confusão (TO),Lagoa da Confusão (TO),"200,00",22/12/2023
8,Arroz em Casca Longo Fino Sc 60Kg Monte do Carmo (TO),Monte do Carmo (TO),"200,00",22/12/2023
9,Arroz em Casca Longo Fino Sc 60Kg Palmas (TO),Palmas (TO),"200,00",22/12/2023
10,Arroz em Casca Longo Fino Sc 60Kg Peixe (TO),Peixe (TO),"200,00",22/12/2023
11,Arroz em Casca Longo Fino Sc 60Kg Porto Nacional (TO),Porto Nacional (TO),"200,00",22/12/2023
12,Arroz em Casca Longo Fino Sc 60Kg Tocantínia (TO),Tocantínia (TO),"200,00",22/12/2023
13,Arroz em Casca Sc 60Kg Guaratinguetá (SP),Guaratinguetá (SP),"155,00",03/01/2024
14,Arroz em Casca Sc 60Kg Rio Verde (GO),Rio Verde (GO),"99,15",03/01/2024
15,Arroz Irrigado em Casca Sc 50Kg Alegrete (RS),Alegrete (RS),"120,00",20/12/2023
16,Arroz Irrigado em Casca Sc 50Kg Araranguá (SC),Araranguá (SC),"112,00",20/12/2023
17,Arroz Irrigado em Casca Sc 50Kg Arroio Grande (RS),Arroio Grande (RS),"120,00",01/12/2023
18,Arroz Irrigado em Casca Sc 50Kg Brusque (SC),Brusque (SC),"112,00",20/12/2023
19,Arroz Irrigado em Casca Sc 50Kg Cachoeira do Sul (RS),Cachoeira do Sul (RS),"115,00",01/12/2023
20,Arroz Irrigado em Casca Sc 50Kg Camaquã (RS),Camaquã (RS),"125,00",20/12/2023
21,Arroz Irrigado em Casca Sc 50Kg Candelária (RS),Candelária (RS),"116,00",02/01/2024
22,Arroz Irrigado em Casca Sc 50Kg Capivari do Sul (RS),Capivari do Sul (RS),"131,00",20/12/2023
23,Arroz Irrigado em Casca Sc 50Kg Criciúma (SC),Criciúma (SC),"112,00",20/12/2023
24,Arroz Irrigado em Casca Sc 50Kg Criciúma (SC),Criciúma (SC),"111,00",03/01/2024
25,Arroz Irrigado em Casca Sc 50Kg Dom Pedrito (RS),Dom Pedrito (RS),"118,00",20/12/2023
26,Arroz Irrigado em Casca Sc 50Kg Ermo (SC),Ermo (SC),"112,00",20/12/2023
27,Arroz Irrigado em Casca Sc 50Kg Florianópolis (SC),Florianópolis (SC),"116,25",03/01/2024
28,Arroz Irrigado em Casca Sc 50Kg Florianópolis (SC),Florianópolis (SC),"112,00",20/12/2023
29,Arroz Irrigado em Casca Sc 50Kg Forquilhinha (SC),Forquilhinha (SC),"112,00",20/12/2023
30,Arroz Irrigado em Casca Sc 50Kg Ibirama (SC),Ibirama (SC),"112,00",20/12/2023
